Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2/22/2000,INFOSYSTCH,EQ,10254.75,10339,10339,9750,9789,9830.1,9940.6,188540,1.8742E+14,,,
2/23/2000,INFOSYSTCH,EQ,9830.1,10500,10500,9043.7,9300,9214.95,9664.47,186634,1.80372E+14,,,
2/24/2000,INFOSYSTCH,EQ,9214.95,9390,9649,8988,9400,9297,9327.21,129070,1.20386E+14,,,
2/25/2000,INFOSYSTCH,EQ,9297,9400,9489.85,8850,8985,8987.2,9206.52,77029,7.09169E+13,,,
2/28/2000,INFOSYSTCH,EQ,8987.2,8900,8900,8268.25,8555,8509.7,8417.28,119006,1.00171E+14,,,
2/29/2000,INFOSYSTCH,EQ,8509.7,8600,9190.5,8350,8700,8779.4,8933.35,250497,2.23778E+14,,,
3/1/2000,INFOSYSTCH,EQ,8779.4,9099,9481.75,9000,9481.75,9481.75,9372.07,98216,9.20487E+13,,,
3/2/2000,INFOSYSTCH,EQ,9481.75,10134.75,10240.3,9932.1,10240.3,10240.3,10226.19,25110,2.5678E+13,,,
3/3/2000,INFOSYSTCH,EQ,10240.3,11059.55,11059.55,11059.55,11059.55,11059.55,11059.55,26691,2.9519E+13,,,
3/6/2000,INFOSYSTCH,EQ,11059.55,11939.65,11944.35,10560,11944.35,11944.35,11920.08,21653,2.58106E+13,,,
3/7/2000,INFOSYSTCH,EQ,11944.35,12800,12899.9,12800,12899.9,12899.9,12899.72,54333,7.0088E+13,,,
3/8/2000,INFOSYSTCH,EQ,12899.9,13450,13931.9,11985,12400,12315.05,13334.7,350512,4.67397E+14,,,
3/9/2000,INFOSYSTCH,EQ,12315.05,12690,13000,11630,11725,11858.55,12101.56,130230,1.57599E+14,,,
3/10/2000,INFOSYSTCH,EQ,11858.55,12099,12745,11426.55,11699,11664.8,12123.96,160307,1.94356E+14,,,
3/13/2000,INFOSYSTCH,EQ,11664.8,11700,12199,10731.65,10731.65,10731.65,11177.74,117401,1.31228E+14,,,
3/14/2000,INFOSYSTCH,EQ,10731.65,10210,10210,9873.15,9873.15,9873.15,9892.97,131103,1.297E+14,,,
3/15/2000,INFOSYSTCH,EQ,9873.15,9131,10250,9083.3,9800,9966.95,9392.3,254096,2.38655E+14,,,
3/16/2000,INFOSYSTCH,EQ,9966.95,9600,9600,9169.6,9169.6,9169.6,9291.7,89462,8.31254E+13,,,
3/21/2000,INFOSYSTCH,EQ,9169.6,9195,9903.2,8511,9903.2,9903.2,9732.01,228646,2.22519E+14,,,
3/22/2000,INFOSYSTCH,EQ,9903.2,9700,10695.5,9500,10695.5,10694.3,10526.01,149696,1.5757E+14,,,
3/23/2000,INFOSYSTCH,EQ,10694.3,10960,11540,10150,10210,10264.05,10702.85,222929,2.38598E+14,,,
3/24/2000,INFOSYSTCH,EQ,10264.05,10110,11080,10110,10731,10823.45,10777.58,191471,2.06359E+14,,,
3/27/2000,INFOSYSTCH,EQ,10823.45,10500,10999,10300,10358.85,10367.35,10543.87,126203,1.33067E+14,,,
3/28/2000,INFOSYSTCH,EQ,10367.35,10101,10200,9661.15,10048,9947.6,9893.31,139382,1.37895E+14,,,
3/29/2000,INFOSYSTCH,EQ,9947.6,10200,10680,10151,10175,10188.9,10331.58,102186,1.05574E+14,,,
3/30/2000,INFOSYSTCH,EQ,10188.9,9900,9900,9380,9725,9745.7,9640.54,119682,1.1538E+14,,,
3/31/2000,INFOSYSTCH,EQ,9745.7,9600,9600,8966.05,8979,8970.15,9047.51,126260,1.14234E+14,,,
4/3/2000,INFOSYSTCH,EQ,8970.15,8501,9000,8252.55,8252.55,8252.55,8363.56,58493,4.8921E+13,,,
4/4/2000,INFOSYSTCH,EQ,8252.55,7592.35,7592.35,7592.35,7592.35,7592.35,7592.35,6253,4.7475E+12,,,
4/5/2000,INFOSYSTCH,EQ,7592.35,7051,8199,7051,7830,7797.65,7667.31,442955,3.39627E+14,,,
4/6/2000,INFOSYSTCH,EQ,7797.65,7852,8421.5,7301,8421.5,8415.3,8026.76,469687,3.77006E+14,,,
4/7/2000,INFOSYSTCH,EQ,8415.3,9088.55,9088.55,9088.55,9088.55,9088.55,9088.55,3475,3.15827E+12,,,
4/10/2000,INFOSYSTCH,EQ,9088.55,9815.65,9815.65,9815.65,9815.65,9815.65,9815.65,3291,3.23033E+12,,,
4/11/2000,INFOSYSTCH,EQ,9815.65,9815.65,10600.9,9051,10600.9,10599.2,10176.6,424595,4.32093E+14,,,
4/12/2000,INFOSYSTCH,EQ,10599.2,10390,10573,9990,10085,10077,10261.81,256124,2.6283E+14,,,
4/13/2000,INFOSYSTCH,EQ,10077,9900.05,9900.05,9270.85,9270.85,9270.85,9270.93,51784,4.80086E+13,,,
4/17/2000,INFOSYSTCH,EQ,9270.85,8529.2,8529.2,8529.2,8529.2,8529.2,8529.2,3439,2.93319E+12,,,
4/18/2000,INFOSYSTCH,EQ,8529.2,8529.2,8799,7846.9,7846.9,7846.9,8014.61,233506,1.87146E+14,,,
4/19/2000,INFOSYSTCH,EQ,7846.9,8474,8474,7219.15,7240,7250.05,7574.8,398588,3.01922E+14,,,
4/20/2000,INFOSYSTCH,EQ,7250.05,6802,7818,6671,7550,7603.55,7142.84,574575,4.1041E+14,,,
4/24/2000,INFOSYSTCH,EQ,7603.55,7798,7899,7210,7250,7371.4,7497.76,271376,2.03471E+14,,,
4/25/2000,INFOSYSTCH,EQ,7371.4,7216,7394,6781.7,7275,7172.35,6909.91,256876,1.77499E+14,,,
4/26/2000,INFOSYSTCH,EQ,7172.35,7742.85,7742.9,7651,7742.9,7742.9,7734.92,67657,5.23322E+13,,,
4/27/2000,INFOSYSTCH,EQ,7742.9,7990,8174,7742.9,7960,7988.25,7991.33,388048,3.10102E+14,,,
4/28/2000,INFOSYSTCH,EQ,7988.25,8100,8488,7955,8120,8121.65,8169.37,298589,2.43928E+14,,,
5/2/2000,INFOSYSTCH,EQ,8121.65,8250,8470,7745,7911,7883.3,7947.4,399724,3.17676E+14,,,
5/3/2000,INFOSYSTCH,EQ,7883.3,7350,7899,6937.3,7730,7648.9,7494.26,513875,3.85111E+14,,,
5/4/2000,INFOSYSTCH,EQ,7648.9,7690,8230,7550,8161,8179.55,8038.42,392461,3.15476E+14,,,
5/5/2000,INFOSYSTCH,EQ,8179.55,8230,8729.85,8230,8494,8566,8555.67,481595,4.12037E+14,,,
5/8/2000,INFOSYSTCH,EQ,8566,8599,8740,7540,7573,7597.8,8066.43,756241,6.10016E+14,,,
5/9/2000,INFOSYSTCH,EQ,7597.8,7501,7945,7000,7926,7876,7612,487739,3.71267E+14,,,
5/10/2000,INFOSYSTCH,EQ,7876,7950,7975,7550,7695,7760.95,7747.36,377044,2.9211E+14,,,
5/11/2000,INFOSYSTCH,EQ,7760.95,7610,7610,6910.25,7175,7060.95,7261.86,496088,3.60252E+14,,,
5/12/2000,INFOSYSTCH,EQ,7060.95,7150,7300,6752.5,6868,6860.9,7002.57,502746,3.52052E+14,,,
5/15/2000,INFOSYSTCH,EQ,6860.9,6805,7190,6051.1,6945,6939.3,6670.17,675941,4.50864E+14,,,
5/16/2000,INFOSYSTCH,EQ,6939.3,6999,7100,6720,6899,6863.9,6868.93,470408,3.2312E+14,,,
5/17/2000,INFOSYSTCH,EQ,6863.9,7166.6,7413.05,6881,6980,6962.85,7223.02,389893,2.8162E+14,,,
5/18/2000,INFOSYSTCH,EQ,6962.85,6950,6995,6752,6947.9,6897.85,6870.55,255152,1.75303E+14,,,
5/19/2000,INFOSYSTCH,EQ,6897.85,6900.15,6900.15,6301.7,6470.1,6456.35,6549.66,559208,3.66262E+14,,,
5/22/2000,INFOSYSTCH,EQ,6456.35,6258,6258,5831,5900,5939,6047.62,432449,2.61529E+14,,,
5/23/2000,INFOSYSTCH,EQ,5939,5800.05,6168.8,5525.05,6150,6016.35,5830.69,537884,3.13623E+14,,,
5/24/2000,INFOSYSTCH,EQ,6016.35,5901,6135,5700,6028,6047.3,5972.56,607288,3.62706E+14,,,
5/25/2000,INFOSYSTCH,EQ,6047.3,6090,6318,6000,6040,6039.15,6159.36,535245,3.29677E+14,,,
5/26/2000,INFOSYSTCH,EQ,6039.15,6085,6138,5825,5981,5978.35,5967.32,565914,3.37699E+14,,,
5/29/2000,INFOSYSTCH,EQ,5978.35,5912,5960,5580.1,5862,5891.35,5793.09,416259,2.41143E+14,,,
5/30/2000,INFOSYSTCH,EQ,5891.35,5925,6330,5852.25,6280,6266.95,6100.41,410595,2.5048E+14,,,
5/31/2000,INFOSYSTCH,EQ,6266.95,6679,7019,6679,7009,6998.75,6944.86,342128,2.37603E+14,,,
6/1/2000,INFOSYSTCH,EQ,6998.75,6950,7122.35,6833,6960,6993.65,6999.48,419598,2.93697E+14,,,
6/2/2000,INFOSYSTCH,EQ,6993.65,7040,7690,7040,7492,7534.2,7406.19,611577,4.52946E+14,,,
6/5/2000,INFOSYSTCH,EQ,7534.2,7600,8438.3,7600,7980,8001.95,8202.33,435873,3.57517E+14,,,
6/6/2000,INFOSYSTCH,EQ,8001.95,8052,8170,7800,7940,7971.65,7970.31,451479,3.59843E+14,,,
6/7/2000,INFOSYSTCH,EQ,7971.65,7850,8066,7700,7750,7836.6,7863.91,446080,3.50793E+14,,,
6/8/2000,INFOSYSTCH,EQ,7836.6,7845,7999,7800,7902,7906.9,7904.67,316289,2.50016E+14,,,
6/9/2000,INFOSYSTCH,EQ,7906.9,7949.9,8179.85,7870,7875,7935.05,8044.64,502416,4.04175E+14,,,
6/12/2000,INFOSYSTCH,EQ,7935.05,7825,7978,7721,7745,7764.2,7810.14,227838,1.77945E+14,,,
6/13/2000,INFOSYSTCH,EQ,7764.2,7701.15,7845,7451,7810,7770.45,7613.83,303756,2.31275E+14,,,
6/14/2000,INFOSYSTCH,EQ,7770.45,7689,7949,7689,7840,7813.1,7849.53,246938,1.93835E+14,,,
6/15/2000,INFOSYSTCH,EQ,7813.1,7802,8399,7752,8290,8282.35,8150.11,746577,6.08468E+14,,,
6/16/2000,INFOSYSTCH,EQ,8282.35,8201,8490,8149,8421,8390.65,8362.19,500137,4.18224E+14,,,
6/19/2000,INFOSYSTCH,EQ,8390.65,8400,8668,8251,8510,8565.7,8534.62,614834,5.24737E+14,,,
6/20/2000,INFOSYSTCH,EQ,8565.7,8535,8950,8535,8725,8728.95,8769.64,394110,3.4562E+14,,,
6/21/2000,INFOSYSTCH,EQ,8728.95,8900,8900,8430,8445,8500.75,8692.48,429796,3.73599E+14,,,
6/22/2000,INFOSYSTCH,EQ,8500.75,8500,8593,8401,8511,8512.6,8521.6,339271,2.89113E+14,,,
6/23/2000,INFOSYSTCH,EQ,8512.6,8496,8496,8166,8246,8259.25,8283.01,344091,2.85011E+14,,,
6/26/2000,INFOSYSTCH,EQ,8259.25,8200.05,8200.05,7850.1,8075,8083.15,7982.27,273596,2.18392E+14,,,
6/27/2000,INFOSYSTCH,EQ,8083.15,8179,8308.9,8005,8155,8157.5,8199.61,310998,2.55006E+14,,,
6/28/2000,INFOSYSTCH,EQ,8157.5,8100,8260,7902,8251,8216.8,8152.47,190015,1.54909E+14,,,
6/29/2000,INFOSYSTCH,EQ,8216.8,8269,8649,8269,8360.05,8390.5,8485.89,263555,2.2365E+14,,,
6/30/2000,INFOSYSTCH,EQ,8390.5,8306,8350,8151,8340,8310.4,8281.11,240715,1.99339E+14,,,
7/3/2000,INFOSYSTCH,EQ,8310.4,8390,8619,8390,8610,8583.55,8531.21,331788,2.83055E+14,,,
7/4/2000,INFOSYSTCH,EQ,8583.55,8620,8798,8601,8702.25,8749.85,8705,349954,3.04635E+14,,,
7/5/2000,INFOSYSTCH,EQ,8749.85,8788,8812,8556,8589.95,8600.45,8655.32,247278,2.14027E+14,,,
7/6/2000,INFOSYSTCH,EQ,8600.45,8565,8565,8370,8470,8468.25,8460.27,213964,1.81019E+14,,,
7/7/2000,INFOSYSTCH,EQ,8468.25,8489.9,8619.85,8456.1,8491,8487.65,8533.71,253472,2.16306E+14,,,
7/10/2000,INFOSYSTCH,EQ,8487.65,8510,8560,8264,8320.1,8296.6,8392.95,243594,2.04447E+14,,,
7/11/2000,INFOSYSTCH,EQ,8296.6,8333,8525,8240,8271,8273.25,8401.76,421302,3.53968E+14,,,
7/12/2000,INFOSYSTCH,EQ,8273.25,8275,8399,8090,8399,8361.55,8232.97,456013,3.75434E+14,,,
7/13/2000,INFOSYSTCH,EQ,8361.55,8448,8529.95,7950,7980,8031.15,8212.32,429320,3.52571E+14,,,
7/14/2000,INFOSYSTCH,EQ,8031.15,7900.05,8038,7681,7779,7770.05,7814.54,857042,6.69738E+14,,,
7/17/2000,INFOSYSTCH,EQ,7770.05,7750,7819.9,7610,7670,7692.6,7705.03,414452,3.19336E+14,,,
7/18/2000,INFOSYSTCH,EQ,7692.6,7697,7699,7372,7462.35,7454.55,7500.82,595418,4.46612E+14,,,
7/19/2000,INFOSYSTCH,EQ,7454.55,7100.6,7480,7082.2,7320,7325.1,7354.98,480810,3.53635E+14,,,
7/20/2000,INFOSYSTCH,EQ,7325.1,7291,7374.45,7205,7359,7347.25,7311.96,352790,2.57959E+14,,,
7/21/2000,INFOSYSTCH,EQ,7347.25,7374.45,7510,7301,7305,7349.3,7419.55,442516,3.28327E+14,,,
7/24/2000,INFOSYSTCH,EQ,7349.3,7262,7262,6766,6779,6851.8,6968.29,529460,3.68943E+14,,,
7/25/2000,INFOSYSTCH,EQ,6851.8,6500,7245,6352,7207.1,7118.45,6769.25,769192,5.20685E+14,,,
7/26/2000,INFOSYSTCH,EQ,7118.45,7268,7299,6601.15,6621.1,6656.1,6890.31,533944,3.67904E+14,,,
7/27/2000,INFOSYSTCH,EQ,6656.1,6600,6849,6355,6780.2,6787.2,6592.14,623120,4.10769E+14,,,
7/28/2000,INFOSYSTCH,EQ,6787.2,6825,7065,6721,6909.95,6845.3,6914.19,690351,4.77322E+14,,,
7/31/2000,INFOSYSTCH,EQ,6845.3,6850,6909,6651,6790,6761.25,6780.71,337832,2.29074E+14,,,
8/1/2000,INFOSYSTCH,EQ,6761.25,6840,6898,6712.6,6769,6748.15,6801.14,371961,2.52976E+14,,,
8/2/2000,INFOSYSTCH,EQ,6748.15,6624,6658,6485,6635.1,6627.1,6582.18,421744,2.77599E+14,,,
8/3/2000,INFOSYSTCH,EQ,6627.1,6580,6580,6300,6465,6450.6,6483.64,421473,2.73268E+14,,,
8/4/2000,INFOSYSTCH,EQ,6450.6,6411,6629,6255.6,6312.2,6325.2,6422.15,706349,4.53628E+14,,,
8/7/2000,INFOSYSTCH,EQ,6325.2,6369,6490,6320,6480,6438.8,6404.09,388077,2.48528E+14,,,
8/8/2000,INFOSYSTCH,EQ,6438.8,6490,7469.05,6490,7469.05,7459.25,7023.87,1187055,8.33772E+14,,,
8/9/2000,INFOSYSTCH,EQ,7459.25,7690,7840,7525,7570.1,7571.65,7659.41,706069,5.40807E+14,,,
8/10/2000,INFOSYSTCH,EQ,7571.65,7510,7674,7221.3,7274,7270.55,7439.48,546702,4.06718E+14,,,
8/11/2000,INFOSYSTCH,EQ,7270.55,7237,7495,7135,7249,7235.55,7279.29,811922,5.91021E+14,,,
8/14/2000,INFOSYSTCH,EQ,7235.55,7295,7347,7171,7265.2,7280.5,7258.08,483206,3.50715E+14,,,
8/16/2000,INFOSYSTCH,EQ,7280.5,7425,7789,7411,7750,7735.3,7648.81,660796,5.05431E+14,,,
8/17/2000,INFOSYSTCH,EQ,7735.3,7768,7824,7530,7545,7561.85,7632.89,368614,2.81359E+14,,,
8/18/2000,INFOSYSTCH,EQ,7561.85,7552.2,8014.95,7552.2,7940,7970.9,7818.17,1175987,9.19406E+14,,,
8/21/2000,INFOSYSTCH,EQ,7970.9,7999,8084,7801,7964,7965.9,7993.48,674358,5.39047E+14,,,
8/22/2000,INFOSYSTCH,EQ,7965.9,7985,8603,7985,8277,8295.85,8331.17,669011,5.57364E+14,,,
8/23/2000,INFOSYSTCH,EQ,8295.85,8143,8209.8,8001,8049,8045.85,8116.51,403077,3.27158E+14,,,
8/24/2000,INFOSYSTCH,EQ,8045.85,8000,8275,7961,8210,8211.05,8158,575476,4.69473E+14,,,
8/25/2000,INFOSYSTCH,EQ,8211.05,8275,8319.9,8100,8101,8155.85,8232.18,558580,4.59833E+14,,,
8/28/2000,INFOSYSTCH,EQ,8155.85,8140,8200,7775,7795,7797.9,7938.08,404320,3.20953E+14,,,
8/29/2000,INFOSYSTCH,EQ,7797.9,7750.05,7910,7671,7815,7841.45,7812.52,497783,3.88894E+14,,,
8/30/2000,INFOSYSTCH,EQ,7841.45,7801,7970,7800,7842,7852.2,7882.77,389141,3.06751E+14,,,
8/31/2000,INFOSYSTCH,EQ,7852.2,7825,8470,7810.55,8365,8326.8,8241.56,1454238,1.19852E+15,,,
9/4/2000,INFOSYSTCH,EQ,8326.8,8400,8700,8400,8570,8609.4,8608.35,683066,5.88007E+14,,,
9/5/2000,INFOSYSTCH,EQ,8609.4,8620,8649,8475,8510,8532.1,8533.15,398037,3.39651E+14,,,
9/6/2000,INFOSYSTCH,EQ,8532.1,8412,8469,8270.05,8365,8360.5,8386.61,417458,3.50106E+14,,,
9/7/2000,INFOSYSTCH,EQ,8360.5,8285,8448,8221.1,8355,8358.1,8350.67,506328,4.22818E+14,,,
9/8/2000,INFOSYSTCH,EQ,8358.1,8390,8639,8390,8590,8582.7,8562.2,805864,6.89997E+14,,,
9/11/2000,INFOSYSTCH,EQ,8582.7,8600,8825,8490,8660,8681.75,8727.97,836587,7.3017E+14,,,
9/12/2000,INFOSYSTCH,EQ,8681.75,8700,8914,8570.1,8818,8841.4,8741.81,882718,7.71655E+14,,,
9/13/2000,INFOSYSTCH,EQ,8841.4,8808,8949,8675,8698,8716.1,8821.31,890364,7.85418E+14,,,
9/14/2000,INFOSYSTCH,EQ,8716.1,8725,8835,8361,8600,8591.55,8626.53,1299136,1.1207E+15,,,
9/15/2000,INFOSYSTCH,EQ,8591.55,8511,8624,8450,8525,8497.8,8527.84,844157,7.19883E+14,,,
9/18/2000,INFOSYSTCH,EQ,8497.8,8452,8452,7965,7990,8006.65,8191.24,843289,6.90758E+14,,,
9/19/2000,INFOSYSTCH,EQ,8006.65,7905,7945,7410,7675,7641.75,7695.77,816656,6.2848E+14,,,
9/20/2000,INFOSYSTCH,EQ,7641.75,7850,7975,7575,7805.1,7796.4,7774.24,358909,2.79025E+14,,,
9/21/2000,INFOSYSTCH,EQ,7796.4,7747,7761,7550,7558,7579.75,7660.77,329401,2.52346E+14,,,
9/22/2000,INFOSYSTCH,EQ,7579.75,7526,7526,6975,7060,7041.2,7206,803377,5.78914E+14,,,
9/25/2000,INFOSYSTCH,EQ,7041.2,7329,7604.5,7300,7604.5,7541.15,7430.99,570198,4.23714E+14,,,
9/26/2000,INFOSYSTCH,EQ,7541.15,7650,7650,7192.1,7290,7247.8,7307.07,526609,3.84797E+14,,,
9/27/2000,INFOSYSTCH,EQ,7247.8,7200,7520,7026,7461,7461.15,7364.78,666324,4.90733E+14,,,
9/28/2000,INFOSYSTCH,EQ,7461.15,7441,7595,7251.6,7375,7376.8,7407.83,527986,3.91123E+14,,,
9/29/2000,INFOSYSTCH,EQ,7376.8,7413,7510,7326,7360,7361.25,7397.99,457021,3.38104E+14,,,
10/3/2000,INFOSYSTCH,EQ,7361.25,7325,7610,7150,7575,7470.6,7371.8,650930,4.79852E+14,,,
10/4/2000,INFOSYSTCH,EQ,7470.6,7300,7692,7300,7615.5,7651.7,7561.91,702495,5.31221E+14,,,
10/5/2000,INFOSYSTCH,EQ,7651.7,7585,7725,7484,7495,7517.05,7611.62,646560,4.92137E+14,,,
10/6/2000,INFOSYSTCH,EQ,7517.05,7480,7574.8,7241.2,7555,7534.15,7411.04,1035061,7.67088E+14,,,
10/9/2000,INFOSYSTCH,EQ,7534.15,7500,7511.1,7351,7384,7393.95,7423.05,512762,3.80626E+14,,,
10/10/2000,INFOSYSTCH,EQ,7393.95,7449,7539,7235,7258,7340.85,7349.77,961657,7.06796E+14,,,
10/11/2000,INFOSYSTCH,EQ,7340.85,7100,7149,6785,6805.5,6814.45,6931.75,1011487,7.01138E+14,,,
10/12/2000,INFOSYSTCH,EQ,6814.45,6790,6849.9,6556,6785,6794.1,6691.9,1089314,7.28958E+14,,,
10/13/2000,INFOSYSTCH,EQ,6794.1,6720,6720,6480.05,6785,6516.95,6568.97,995508,6.53946E+14,,,
10/16/2000,INFOSYSTCH,EQ,6516.95,6559,7038.3,6470,6520,6521.35,6773.52,968899,6.56286E+14,,,
10/17/2000,INFOSYSTCH,EQ,6521.35,6477,6577,6285,6415,6464.25,6431.1,992791,6.38474E+14,,,
10/18/2000,INFOSYSTCH,EQ,6464.25,6359.95,6387.85,6120.05,6243,6230.05,6264.03,843440,5.28333E+14,,,
10/19/2000,INFOSYSTCH,EQ,6230.05,6206,6728,6120,6675,6667.35,6421.49,1043077,6.69811E+14,,,
10/20/2000,INFOSYSTCH,EQ,6667.35,6800,7189.8,6800,7090,7123.85,7022.73,1238632,8.69858E+14,,,
10/23/2000,INFOSYSTCH,EQ,7123.85,7114.8,7140,6805.3,6900,6870.3,6925.7,801764,5.55278E+14,,,
10/24/2000,INFOSYSTCH,EQ,6870.3,6832,7088.65,6720,7057.9,7020.25,6896.88,743771,5.1297E+14,,,
10/25/2000,INFOSYSTCH,EQ,7020.25,7249,7290,7150,7186,7183,7209.25,717507,5.17269E+14,,,
10/26/2000,INFOSYSTCH,EQ,7183,7140,7199.9,7058,7154.85,7142,7140.94,151271,1.08022E+14,,,
10/27/2000,INFOSYSTCH,EQ,7142,7169,7249,7133,7210,7200.95,7197.8,321055,2.31089E+14,,,
10/30/2000,INFOSYSTCH,EQ,7200.95,7239,7247,7066,7128,7111.55,7137.99,322876,2.30469E+14,,,
10/31/2000,INFOSYSTCH,EQ,7111.55,7101.1,7174,6976,7160,7132.95,7060.57,439410,3.10249E+14,,,
11/1/2000,INFOSYSTCH,EQ,7132.95,7349.9,7368,7259.9,7285,7302.9,7308.85,441737,3.22859E+14,,,
11/2/2000,INFOSYSTCH,EQ,7302.9,7320,7448,7320,7395,7407.4,7387.43,530975,3.92254E+14,,,
11/3/2000,INFOSYSTCH,EQ,7407.4,7430,7609,7380,7570,7570,7520.77,663590,4.99071E+14,,,
11/6/2000,INFOSYSTCH,EQ,7570,7569,7655,7510,7589,7599.7,7587.31,566501,4.29822E+14,,,
11/7/2000,INFOSYSTCH,EQ,7599.7,7551,7737.65,7505.55,7734,7710.95,7642.86,556586,4.25391E+14,,,
11/8/2000,INFOSYSTCH,EQ,7710.95,7700,8014,7676,7997.8,7951.5,7876.96,804881,6.34002E+14,,,
11/9/2000,INFOSYSTCH,EQ,7951.5,7921,8035.9,7876,7929.8,7923.6,7950.58,544862,4.33197E+14,,,
11/10/2000,INFOSYSTCH,EQ,7923.6,7910.05,7939,7715,7752,7738.1,7800.55,496458,3.87265E+14,,,
11/13/2000,INFOSYSTCH,EQ,7738.1,7730,7730,7315.05,7377,7360.9,7405.77,657798,4.8715E+14,,,
